Age,Gender,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
  84 Year,Male,5757,5481,4616,3876,3950,4248,3724,3493,3326,3077,2989,2851,2541,2461,2132,1980,1845,1784,1751,1610,1551,1405,1487,1374,1300,1301,1277,1359,1388,1328,1253,1107,1159,1028,857,na,na,na,na,na,na,na,na,na,318
  10 Year,Female,19898,20310,19759,18303,19776,20256,21144,20274,20208,20087,19784,20943,21048,23393,23002,22154,23875,23963,24505,24550,25323,24778,25101,25665,24241,26104,23438,19471,19820,20626,19312,20382,19817,20141,19239,19029,18172,19286,18898,19203,20937,22403,21624,21473,19909
  11 Year,Female,20465,20166,18625,19382,20156,21211,20246,20249,20100,19740,20882,20969,23369,22942,22203,24162,24120,24524,24675,25451,24790,24977,25729,24272,26164,23496,19578,19914,20708,19371,20442,19879,20218,19341,19274,18266,19380,18925,19259,21022,22464,21654,21465,19931,20840
  12 Year,Female,20292,18992,19732,19737,21139,20305,20234,20121,19764,20878,20961,23331,22926,22175,24226,24412,24769,24776,25526,24863,24999,25536,24345,26195,23535,19638,19987,20832,19432,20500,19954,20285,19415,19352,18494,19473,18954,19315,21100,22523,21680,21450,19951,20820,21974
  13 Year,Female,19182,20151,20102,20697,20180,20333,20105,19824,20906,20961,23326,22896,22160,24154,24459,25103,25037,25617,24871,25080,25590,24238,26282,23674,19679,20050,20912,19490,20548,20013,20352,19431,19404,18551,19679,18976,19370,21175,22575,21707,21435,19959,20798,21975,23396
  14 Year,Female,20302,20505,21095,19762,20175,20160,19775,20900,20928,23321,22884,22105,24120,24434,25141,25266,25867,25007,25157,25650,24257,26183,23733,19711,20094,20966,19551,20626,20059,20405,19463,19421,18575,19735,19136,19425,21257,22626,21722,21417,19969,20776,21983,23392,25186
  15 Year,Female,20649,21562,20203,19762,20108,19958,20946,21016,23399,22981,22150,24158,24497,25195,25360,26139,25372,25301,25787,24361,26216,23598,19779,20209,21011,19581,20689,20134,20448,19494,19438,18570,19765,19169,19611,21332,22672,21733,21383,19965,20739,21964,23365,25177,25126
  16 Year,Female,21593,20554,20225,19599,19817,21016,20975,23380,22948,22118,24066,24412,25137,25347,26188,25606,25626,25855,24400,26247,23573,19656,20252,20956,19598,20729,20197,20492,19499,19468,18565,19761,19180,19631,21550,22728,21739,21354,19964,20699,21950,23343,25179,25125,26678
  17 Year,Female,20495,20470,20006,19268,20851,21005,23320,22919,22093,24047,24344,25079,25310,26113,25632,25822,26176,24453,26324,23588,19631,20085,20980,19695,20737,20235,20541,19524,19481,18558,19763,19174,19629,21553,23007,21748,21324,19961,20656,21938,23316,25173,25128,26667,26346
  18 Year,Female,20550,20389,19755,20544,21026,23520,22985,22119,24071,24387,25055,25279,26125,25631,25925,26573,24795,26386,23652,19664,20095,20833,19737,20781,20276,20590,19573,19530,18569,19815,19228,19657,21596,23064,22070,21295,19971,20616,21925,23288,25172,25126,26661,26328,26294
  19 Year,Female,20518,20143,21039,20813,23564,23168,22192,24039,24349,25082,25208,26149,25686,25873,26642,25181,26887,23721,19735,20168,20831,19566,20839,20334,20662,19689,19655,18746,20001,19443,19822,21748,23221,22252,21853,19996,20592,21917,23275,25178,25151,26674,26330,26339,26842
  20 Year,Female,20216,21289,21099,23098,23120,22302,24155,24358,25007,25184,26080,25792,25985,26580,25343,27288,24166,19897,20370,20960,19632,20710,20535,20791,19953,19978,19088,20368,19784,20228,22077,23603,22647,22265,20911,20605,21948,23271,25198,25193,26712,26365,26421,26922,27011
  21 Year,Female,21301,21310,23356,22527,22221,24172,24398,24983,25205,26122,25748,25997,26747,25365,27513,24705,20382,20732,21395,20008,20974,20600,21353,20424,20441,19623,20944,20346,20893,22737,24278,23473,23111,21636,21685,22063,23342,25249,25255,26790,26443,26545,27062,27158,27007
  22 Year,Female,21300,23670,22835,21616,24193,24497,25018,25175,26062,25751,25971,26761,25461,27517,25091,21206,21394,21879,20657,21691,21202,21729,21261,21112,20276,21758,21059,21577,23404,25057,24187,23991,22491,22509,23196,23447,25352,25310,26840,26526,26662,27170,27318,27191,26515
  23 Year,Female,23835,23286,22044,23702,24640,25374,25363,26265,25925,26158,26902,25834,27839,25225,21826,22671,23007,21529,22578,22182,22513,21898,22319,21180,22605,21930,22402,24232,25786,25017,24793,23387,23415,24001,24675,25591,25575,27002,26671,26914,27418,27600,27528,26878,26452
  24 Year,Female,23577,22614,24347,24468,25746,25970,26626,26466,26609,27419,26315,28471,25799,22137,23475,24934,22968,23846,23364,23501,22740,23067,22581,23693,22712,23312,25232,26665,25766,25595,24207,24301,24924,25424,26919,25883,27327,26869,27128,27678,27884,27860,27276,26875,25325
  25 Year,Female,23057,25073,25338,25684,26485,27369,27102,27374,28120,27054,29293,26607,22955,23797,25785,25271,25588,24843,24704,23846,23955,23390,25267,23915,24084,26100,27646,26631,26347,24943,25086,25711,26173,27639,27080,27681,27200,27369,27897,28168,28164,27637,27305,25803,24853
  26 Year,Female,25736,26304,26880,26674,28135,27905,28134,29120,27770,30287,27504,23838,24585,26168,26120,28129,26379,26161,25136,25043,24208,25977,25329,25180,26816,28470,27488,27208,25653,25764,26420,26818,28353,27736,28888,27485,27662,28090,28350,28397,27922,27621,26213,25293,24064
  27 Year,Female,27057,27933,28041,28344,28589,29101,29938,28845,31162,28536,24690,25439,26990,26348,28921,28943,27702,26471,26307,25308,26866,25893,26353,27679,29092,28178,28016,26404,26468,27075,27427,28960,28372,29414,28686,27934,28320,28493,28542,28116,27858,26511,25642,24432,22827
  28 Year,Female,28844,29189,29752,28875,29881,30881,29604,32185,29348,25596,26224,27914,27184,29162,29807,29991,27869,27582,26454,27914,26590,26722,28756,29798,28699,28718,27166,27233,27653,27937,29480,28901,29946,29192,29005,28499,28651,28655,28216,28031,26725,25898,24714,23147,22018
  29 Year,Female,30004,30879,30344,29912,31525,30473,33095,30247,26345,27053,28644,27804,29812,29999,30707,29952,28821,27475,29082,27457,27357,28921,30760,29421,29185,27784,27938,28273,28387,29984,29402,30404,29660,29455,29530,28847,28797,28321,28143,26899,26105,24943,23423,22305,21006
  30 Year,Female,31712,31463,31245,31454,30952,33841,30894,27058,27637,29297,28329,30437,30609,30851,30618,30738,28424,29996,28360,28166,29453,30741,30251,29687,28170,28478,28882,28911,30395,29846,30830,30099,29864,29934,29683,28923,28480,28249,27038,26304,25163,23680,22586,21280,21554
  31 Year,Female,32259,32400,32860,30760,34265,31448,27589,28212,29772,28859,30845,31006,31248,30697,31194,29921,30667,29051,29005,30124,31179,30188,30340,28557,28823,29277,29439,30851,30228,31224,30493,30248,30308,30043,29762,28588,28391,27165,26432,25336,23870,22793,21492,21752,21136
  32 Year,Female,33001,33923,32032,33807,31821,27987,28672,30218,29186,31250,31264,31476,30935,31240,30361,32003,29574,29658,30880,31736,30583,30103,29100,29125,29600,29827,31293,30624,31589,30833,30584,30615,30344,30093,29310,28517,27315,26559,25472,24043,22977,21674,21931,21309,19996
  33 Year,Female,34655,33143,35090,31369,28380,29048,30582,29613,31548,31551,31653,31066,31438,30387,32421,30761,30177,31499,32351,31071,30470,28836,29532,30023,30077,31599,31079,31967,31155,30860,30911,30605,30330,29615,29264,27458,26687,25579,24162,23118,21802,22057,21428,20163,20118
  34 Year,Female,33677,36258,32658,27989,29358,30914,29885,31861,31805,31815,31242,31623,30480,32433,31045,31141,31831,32758,31624,30853,29156,29143,30382,30334,31793,31374,32364,31467,31119,31157,30833,30556,29887,29510,28171,26826,25674,24276,23208,21902,22157,21502,20285,20262,13629
  35 Year,Female,36846,33688,29098,28934,31053,30156,32107,32048,32002,31400,31728,30466,32513,31075,31392,32579,32996,31997,31255,29461,29372,29876,30630,32054,31572,32610,31812,31374,31372,31053,30761,30085,29739,28448,27463,25799,24403,23315,21991,22244,21571,20412,20397,13726,10964
  36 Year,Female,34287,30073,29985,30410,30257,32276,32191,32133,31482,31816,30485,32530,31098,31346,32902,33797,32162,31602,29855,29684,30124,30132,32325,31684,32774,32055,31637,31609,31225,30953,30284,29949,28660,27672,26354,24531,23423,22075,22329,21629,20517,20520,13818,11035,13336
  37 Year,Female,30581,30897,31471,29612,32318,32306,32265,31549,31904,30507,32496,31083,31446,32844,33975,32809,31698,30122,29956,30305,30267,31786,31876,33021,32213,31818,31790,31380,31113,30483,30132,28845,27849,26579,25042,23536,22169,22393,21665,20600,20628,13881,11097,13437,11627
  38 Year,Female,31296,32357,30579,31523,32272,32334,31607,31891,30590,32531,31063,31314,32783,33900,32991,32291,30255,30152,30545,30497,31871,31303,33218,32402,31954,31949,31547,31261,30655,30303,29024,28012,26764,25243,24052,22243,22454,21704,20675,20723,13925,11124,13516,11680,12146
  39 Year,Female,32773,31442,32453,31397,32258,31628,31889,30559,32467,31018,31298,32702,33878,32899,32446,30726,30221,30700,30708,32089,31395,32583,32575,32054,32071,31671,31421,30805,30434,29149,28124,26894,25398,24233,22659,22506,21734,20740,20792,13962,11138,13567,11726,12195,14306
  40 Year,Female,31798,33333,32321,31272,31473,31861,30564,32497,31005,31247,32685,33797,32913,32350,30818,30667,30739,30798,32222,31581,32682,31963,32162,32057,31743,31502,30943,30566,29242,28238,27001,25516,24330,22762,22915,21767,20811,20851,13984,11146,13617,11766,12230,14337,14668
  41 Year,Female,33599,33150,32089,30572,31674,30558,32419,30999,31169,32682,33674,32820,32375,30720,30760,31066,30764,32238,31690,32746,32005,31536,32129,31879,31573,31053,30715,29336,28330,27127,25607,24426,22858,23034,22076,20879,20922,14007,11142,13661,11782,12245,14354,14655,14335
  42 Year,Female,33360,32897,31347,30698,30438,32350,31005,31187,32637,33626,32717,32246,30661,30704,31227,31037,32286,31752,32865,32110,31564,31476,31928,31613,31133,30773,29425,28409,27221,25670,24512,22923,23150,22182,21185,20997,14008,11119,13673,11787,12253,14342,14623,14306,11447
  43 Year,Female,33049,32002,31446,29373,32143,31009,31128,32594,33593,32630,32201,30538,30649,31127,31084,32534,31745,32867,32121,31565,31455,31347,31627,31138,30819,29477,28518,27293,25739,24567,22991,23231,22245,21263,21264,14021,11120,13707,11798,12257,14339,14598,14280,11436,10281
  44 Year,Female,32049,32114,30094,31041,30762,31116,32550,33566,32575,32110,30426,30489,31012,31035,32557,31915,32833,32165,31620,31473,31370,31071,31108,30736,29512,28574,27362,25810,24620,23062,23314,22307,21331,21297,14171,11101,13730,11800,12265,14338,14563,14233,11418,10197,11225
  45 Year,Female,32257,30672,31708,29815,30879,32464,33486,32539,32120,30334,30422,30874,30928,32529,31953,33044,32106,31569,31500,31387,31078,30577,30758,29587,28604,27412,25885,24662,23107,23359,22364,21377,21331,14240,11211,13742,11789,12262,14320,14513,14184,11382,10110,11088,11496
  46 Year,Female,30795,32318,30414,29811,32237,33391,32418,32035,30291,30299,30751,30763,32369,31868,33046,32216,31531,31509,31376,31085,30559,30258,29579,28555,27416,25907,24708,23143,23416,22414,21418,21370,14292,11259,13873,11789,12250,14311,14463,14138,11359,10024,10961,11531,10275
  47 Year,Female,32341,30952,30414,31187,33183,32315,31946,30176,30193,30675,30644,32227,31749,32952,32248,31595,31446,31360,31069,30532,30232,29134,28538,27381,25906,24708,23179,23451,22452,21457,21380,14321,11309,13887,11875,12255,14292,14416,14091,11320,9936,10815,11552,10297,10074
  48 Year,Female,30959,31008,31752,32074,32144,31841,30119,30128,30613,30541,32081,31574,32766,32146,31570,31439,31230,31038,30506,30198,29098,28066,27368,25801,24689,23169,23455,22482,21471,21411,14352,11317,13897,11911,12341,14277,14372,14037,11287,9842,10672,11584,10322,10066,9557
  49 Year,Female,31007,32268,32670,31036,31607,30034,30058,30484,30449,31957,31441,32586,31991,31494,31405,31298,30916,30483,30161,29001,28095,26925,25768,24709,23141,23448,22496,21491,21417,14368,11351,13907,11943,12354,14347,14318,13984,11254,9738,10508,11602,10337,10037,9562,9443
  50 Year,Female,32280,33192,31540,30531,29793,29917,30399,30355,31855,31314,32480,31855,31284,31286,31270,30946,30348,30113,28943,27993,26847,25013,24672,23095,23422,22472,21489,21403,14359,11377,13900,11937,12379,14343,14336,13932,11208,9641,10357,11602,10362,10016,9545,9402,9677
  51 Year,Female,33179,31955,30951,28766,29737,30272,30217,31711,31192,32262,31729,31135,31158,31178,30749,30358,29998,28912,27966,26789,25017,23995,23037,23336,22453,21463,21376,14346,11390,13909,11943,12391,14338,14319,13947,11166,9530,10198,11616,10382,9990,9536,9358,9618,9440
  52 Year,Female,31939,31397,29196,28744,30060,30083,31596,31057,32188,31556,30959,30983,31013,30643,30068,29983,28778,27896,26723,24932,23992,22418,23281,22353,21421,21359,14333,11385,13883,11946,12387,14344,14304,13933,11178,9411,10039,11617,10407,9968,9521,9305,9558,9412,9059
  53 Year,Female,31342,29570,29138,29096,29865,31475,30936,31996,31445,30795,30880,30870,30526,30003,29703,28763,27779,26648,24913,23942,22387,22687,22308,21420,21308,14316,11370,13868,11932,12395,14335,14271,13912,11153,9343,9884,11621,10420,9924,9515,9248,9498,9374,9056,8099
  54 Year,Female,29526,29493,29424,28917,31230,30814,31909,31309,30716,30699,30721,30356,29834,29596,28533,27729,26573,24845,23906,22333,22684,21710,21350,21215,14287,11356,13839,11901,12386,14311,14257,13872,11140,9333,9766,11625,10431,9889,9495,9183,9417,9324,9041,8119,7363
  55 Year,Female,29458,29792,29287,30213,30624,31780,31224,30572,30595,30559,30257,29750,29526,28433,27439,26520,24760,23859,22322,22648,21699,20845,21134,14230,11312,13793,11866,12348,14282,14231,13836,11126,9306,9754,11661,10443,9845,9466,9124,9360,9288,9027,8133,7355,6993
  56 Year,Female,29710,29656,30626,29689,31511,31022,30468,30456,30411,30103,29621,29368,28306,27346,26218,24712,23762,22236,22618,21631,20803,20653,14184,11230,13753,11826,12307,14255,14188,13783,11098,9297,9736,11613,10458,9796,9439,9059,9301,9219,9009,8155,7352,6962,6954
  57 Year,Female,29482,30890,30018,30442,30724,30292,30320,30252,29951,29462,29214,28186,27213,26137,24607,23731,22162,22507,21524,20745,20625,13742,11178,13750,11769,12269,14211,14129,13755,11083,9278,9712,11551,10413,9771,9404,9006,9229,9160,8982,8177,7344,6939,6905,6978
  58 Year,Female,30780,30266,30762,29857,30068,30198,30129,29839,29362,29115,28069,27086,26008,24524,23590,22152,22427,21474,20669,20540,13737,10855,13682,11719,12214,14158,14057,13698,11057,9255,9663,11494,10375,9722,9405,8948,9149,9109,8947,8167,7325,6895,6830,6945,6347
  59 Year,Female,30138,31083,30096,29195,29943,29990,29721,29239,28957,27964,26915,25866,24385,23521,22020,22384,21367,20571,20453,13663,10825,13351,11676,12162,14079,13996,13644,11015,9222,9620,11434,10315,9680,9363,8897,9067,9046,8911,8175,7291,6841,6759,6900,6345,6369
  60 Year,Female,31030,30374,29492,29007,29736,29562,29109,28800,27824,26788,25768,24309,23405,21932,22248,21343,20510,20369,13621,10757,13317,11362,12106,13978,13888,13572,10951,9194,9575,11367,10265,9631,9291,8842,8991,8970,8858,8172,7262,6757,6683,6851,6325,6306,6439
  61 Year,Female,30264,29666,29261,28866,29325,28950,28631,27668,26660,25615,24147,23270,21784,22167,21212,20414,20251,13562,10715,13274,11312,11759,13885,13843,13476,10880,9130,9520,11284,10212,9560,9218,8791,8911,8914,8810,8178,7236,6704,6617,6816,6311,6244,6378,5955
  62 Year,Female,29558,29516,29099,28519,28705,28489,27513,26502,25483,24027,23095,21646,21986,21135,20314,20175,13512,10654,13201,11240,11711,13529,13752,13382,10823,9061,9443,11202,10159,9505,9147,8737,8851,8846,8763,8167,7192,6631,6527,6756,6301,6159,6306,5884,5950
  63 Year,Female,29367,29297,28696,27890,28262,27344,26332,25323,23916,22976,21562,21868,20961,20196,20064,13470,10593,13121,11165,11633,13487,13354,13291,10733,9007,9378,11081,10082,9434,9073,8642,8756,8775,8677,8154,7145,6546,6450,6700,6270,6052,6227,5813,5867,5658
  64 Year,Female,29202,28852,28022,27441,27127,26159,25175,23769,22840,21427,21713,20820,20079,19931,13361,10585,13039,11113,11559,13384,13286,12872,10635,8880,9286,10981,10012,9359,8973,8565,8669,8681,8574,8077,7104,6471,6360,6648,6232,5956,6150,5741,5794,5585,5285
  65 Year,Female,28728,28192,27584,26343,25953,25019,23629,22692,21308,21575,20669,19923,19761,13284,10474,13011,11017,11466,13305,13177,12769,10274,8806,9229,10853,9916,9253,8888,8458,8578,8573,8468,7983,7008,6411,6255,6598,6188,5855,6041,5659,5716,5528,5221,5339
  66 Year,Female,28062,27730,26463,25238,24825,23466,22536,21152,21451,20497,19763,19628,13163,10403,12871,10939,11390,13217,13045,12677,10213,8447,9136,10749,9806,9154,8758,8339,8487,8484,8350,7848,6926,6320,6157,6519,6167,5746,5940,5556,5624,5464,5134,5226,5051
  67 Year,Female,27569,26590,25297,24123,23248,22389,20997,21274,20366,19598,19445,13063,10318,12763,10849,11293,13096,12937,12575,10117,8372,8793,10642,9648,9028,8632,8240,8365,8364,8199,7734,6832,6232,6048,6451,6090,5640,5842,5466,5548,5389,5033,5116,4943,5232
  68 Year,Female,26400,25375,24184,22558,22163,20822,21132,20212,19463,19241,12943,10194,12638,10758,11191,12976,12811,12430,10013,8273,8709,10302,9517,8882,8500,8100,8245,8232,8081,7619,6718,6127,5953,6293,6060,5525,5718,5366,5452,5296,4947,5012,4848,5130,4876
  69 Year,Female,25178,24262,22587,21534,20598,20945,20049,19288,19083,12817,10093,12484,10627,11073,12805,12689,12311,9934,8179,8574,10169,9175,8722,8363,7965,8106,8065,7924,7463,6612,6018,5830,6118,5892,5426,5605,5269,5367,5223,4844,4883,4745,5015,4778,4547
  70 Year,Female,24064,22612,21535,20063,20714,19852,19098,18881,12666,9981,12371,10498,10933,12680,12557,12159,9794,8086,8469,10025,9048,8394,8207,7838,7937,7905,7764,7308,6493,5881,5706,5941,5740,5264,5485,5119,5259,5145,4727,4758,4636,4894,4664,4423,4252
  71 Year,Female,22379,21519,20048,20083,19627,18881,18673,12551,9896,12224,10376,10800,12517,12416,12015,9672,7951,8325,9882,8907,8252,7886,7683,7756,7756,7620,7142,6345,5745,5570,5735,5562,5100,5318,4982,5123,5047,4608,4623,4491,4784,4534,4305,4139,3783
  72 Year,Female,21318,19991,20045,19061,18620,18440,12416,9764,12070,10226,10646,12336,12216,11847,9541,7863,8168,9712,8754,8099,7755,7327,7613,7603,7445,6990,6190,5609,5398,5558,5379,4940,5151,4822,4989,4948,4474,4487,4358,4644,4414,4174,3994,3655,3609
  73 Year,Female,19759,20003,18961,18090,18160,12264,9630,11885,10116,10510,12153,12016,11649,9369,7734,8047,9494,8575,7921,7578,7182,7264,7425,7289,6815,6046,5470,5259,5344,5193,4760,4969,4642,4787,4867,4339,4363,4230,4497,4290,4027,3851,3526,3484,3088
  74 Year,Female,19743,18916,17957,17692,12068,9456,11700,9950,10357,11911,11831,11433,9209,7626,7884,9330,8392,7749,7421,7029,7099,7076,7093,6651,5873,5339,5103,5133,4986,4548,4766,4453,4576,4664,4211,4209,4086,4349,4154,3893,3710,3398,3336,2977,2814
  75 Year,Female,18661,17845,17537,11715,9287,11511,9776,10189,11693,11618,11228,9035,7465,7728,9140,8192,7560,7255,6853,6910,6923,6291,6434,5691,5186,4947,4909,4769,4364,4569,4245,4381,4458,4038,4043,na,na,na,na,na,na,na,na,na,2514
  76 Year,Female,17532,17337,11556,8999,11266,9601,9996,11475,11368,10994,8830,7280,7553,8906,7973,7357,7047,6642,6728,6718,6235,5667,5494,5002,4748,4707,4553,4173,4343,4032,4160,4224,3855,3866,3812,na,na,na,na,na,na,na,na,na,2368
  77 Year,Female,17039,11395,8875,10911,9402,9784,11231,11132,10768,8611,7137,7356,8694,7774,7142,6855,6453,6523,6509,6080,5607,4836,4830,4588,4476,4307,3978,4119,3830,3937,4003,3643,3664,3637,3904,na,na,na,na,na,na,na,na,na,2126
  78 Year,Female,11166,8736,10715,9109,9580,10967,10853,10468,8405,6933,7148,8459,7548,6931,6677,6255,6310,6283,5883,5463,4753,4154,4403,4317,4074,3767,3896,3606,3714,3762,3458,3451,3416,3668,3585,na,na,na,na,na,na,na,na,na,1882
  79 Year,Female,8506,10524,8906,9248,10682,10536,10183,8165,6745,6929,8198,7325,6700,6447,6032,6086,6042,5659,5261,4618,4087,3803,4176,3928,3556,3663,3379,3478,3531,3255,3244,3178,3422,3388,3093,na,na,na,na,na,na,na,na,na,1680
  80 Year,Female,10203,8690,9019,10263,10217,9919,7933,6529,6700,7915,7063,6492,6202,5823,5848,5791,5428,5045,4432,3943,3735,3925,3756,3392,3461,3177,3276,3283,3068,3046,2959,3161,3164,2890,2802,na,na,na,na,na,na,na,na,na,1432
  81 Year,Female,8425,8755,9987,9802,9589,7656,6302,6492,7613,6787,6254,5984,5589,5607,5537,5215,4823,4209,3756,3578,3733,3515,3256,3305,2952,3046,3045,2823,2845,2775,2934,2948,2682,2604,2329,na,na,na,na,na,na,na,na,na,1164
  82 Year,Female,8429,9650,9499,9145,7347,6066,6213,7310,6523,5979,5694,5329,5358,5292,4964,4629,3996,3603,3414,3550,3301,3004,3135,2803,2816,2814,2620,2618,2569,2704,2731,2478,2389,2134,2127,na,na,na,na,na,na,na,na,na,995
  83 Year,Female,9231,9072,8753,6987,5786,5970,6966,6216,5698,5412,5066,5096,5020,4699,4388,3801,3387,3227,3312,3121,2825,2896,2642,2666,2597,2401,2419,2343,2462,2493,2272,2196,1969,1942,1843,na,na,na,na,na,na,na,na,na,797
  84 Year,Female,8662,8347,6660,5472,5688,6605,5910,5394,5138,4760,4826,4726,4450,4166,3570,3189,3048,3123,2928,2641,2708,2425,2495,2422,2178,2197,2121,2251,2245,2063,1999,1791,1752,1655,1397,na,na,na,na,na,na,na,na,na,682
